song_Id,gmt_create_total,action_type1,action_type2,action_type3,Ds
007b9d900c65393163d1ef296918c03a,2850400800,2,0,0,20150301
0144bbb7bc2b769853fcfa790e28eb22,2850390000,2,0,0,20150301
0b814eb7674877d04d4cd1185dffdf42,5700726000,4,0,0,20150301
0bae209fc6157e8796457fd871f729af,1425182400,1,0,0,20150301
0e091d6da252c28a9f566ca34601e804,2850354000,2,0,0,20150301
1244373c2601af76065b452553484f57,2850404400,2,0,0,20150301
143426c639b9490318f306532ff8acfc,2850404400,2,0,0,20150301
1c69f5bd988268517a09cd629d2f45eb,1425214800,1,0,0,20150301
1ea4fe1c1e84206a90f18e98bdb1584c,11401434000,8,0,0,20150301
20abdc8d5346633bf5bd763b03f17922,2850361200,2,0,0,20150301
2b3fa5503b65aeaa95cfe7fffb3d0014,2850361200,2,0,0,20150301
2df962e98eb8674c978264553137a424,2850361200,2,0,0,20150301
320f3651df5d39d9be1173d0a19dcf89,4275554400,3,0,0,20150301
33869f5fa4936eeec70529eb2a38c561,25653236400,15,3,0,20150301
35e30c9739a46145a98a53888664d439,1425196800,1,0,0,20150301
3c72477f3d649b91994433dfe1bb1f88,4275583200,3,0,0,20150301
3dc61c27ccd5bf6fd41232770c214bd8,1425207600,1,0,0,20150301
43df5b2c8bba61a2528587d5ffd67ca7,1425196800,1,0,0,20150301
48239d352b2bd6940a7611454b4b6d98,2850400800,2,0,0,20150301
4bda56b8af56ff1ed8b6d3be37fa53fa,1425211200,1,0,0,20150301
4cb66e3c5a9becbe2dd4c38d06b55f23,2850393600,2,0,0,20150301
4deb7b5387212d736e1069ad3137c171,1425214800,1,0,0,20150301
59f6dcd8f7acf9031076d2d93a2d39d0,1425182400,1,0,0,20150301
5c9c3896c081a372ae659b777b90f640,2850361200,2,0,0,20150301
5d1608876e4bf68334e4c50ee0d1ab3a,2850361200,2,0,0,20150301
60027f026ed0342fa93d44dfe78f05d1,1425207600,1,0,0,20150301
61dd0d4303c10311f861ea0e881eb9d9,1425214800,1,0,0,20150301
673e0f390d0677df45aac42f27cb2b83,1425207600,1,0,0,20150301
6ba415ae11bb52a1bef278fd2251496a,1425207600,1,0,0,20150301
6e0065451961e363b196bdd34c2b82e1,8551033200,6,0,0,20150301
742fd1ce58cb04531b1a621430f5ce5a,1425196800,1,0,0,20150301
7471e17b749fec653dce159566f096f6,1425214800,1,0,0,20150301
7bc543a6b27cd6ee9275d9e0d824cebc,1425214800,1,0,0,20150301
7c18ee584fb5d676bb545a4017b9740b,7125800400,5,0,0,20150301
8121de295473659c7de60e582ff8b253,17102152800,12,0,0,20150301
8455c9eea3ebaae2380f7e4face53126,2850397200,2,0,0,20150301
90541cdf352e91f2e6daf779caa5fd07,2850361200,2,0,0,20150301
9556e3d9a35fb2a76c62d33fc19ef84f,5700780000,4,0,0,20150301
956b589d7419ee3f01f560ee20ec3964,1425214800,1,0,0,20150301
97e8efc5f8a87e5f7d5e35daa0cb3a51,1425214800,1,0,0,20150301
9c238986d7955ca7fca4c9cdd9800564,1425207600,1,0,0,20150301
a4b487dafcce03438d88efa135fdd107,1425182400,1,0,0,20150301
a4ba7c56de72fd35631bed9943d75840,2850361200,2,0,0,20150301
a5b875640ec3c5232000f35b821ba02a,1425214800,1,0,0,20150301
ab38d342942d49942ba4aba9336db34c,1425211200,1,0,0,20150301
ac86f5ac50a73cb8a6663a620ceed387,1425211200,1,0,0,20150301
acac9f66feb22704ebdd4df8f81e5fde,1425211200,1,0,0,20150301
acd9fb3ddb55ec7114de394bab2be854,14251744800,10,0,0,20150301
b4981b6c5ae9c842795568a2f21a69c4,7125858000,5,0,0,20150301
c014aa92506e50f966c0f00bda49ff3e,2850404400,2,0,0,20150301
c902f041ba8b94725440dcc2a30e6632,2850361200,2,0,0,20150301
cf9fa4dd2889bdd35488de19641b0240,1425207600,1,0,0,20150301
d3f3565c378946ec0b3e6ccc70f93500,2850393600,2,0,0,20150301
e036df6dc1a8edd7439c6ace0eb7f8d9,9976302000,7,0,0,20150301
ebcc8befa582acc00abd43ace63e219f,2850404400,2,0,0,20150301
ebee0f9ac03bd3eb440bbe769ae494df,1425196800,1,0,0,20150301
edcbea2662369133770ac11fa1c052dc,29928873600,20,1,0,20150301
f114aded48881db26ec33490f0518fc6,4275561600,3,0,0,20150301
f145b7f0422b0151e42ee104797d4be2,1425211200,1,0,0,20150301
f241457901e83bd770836262bb15c6f4,1425207600,1,0,0,20150301
f38951bac70849f428ce25ab541d9a6a,7125962400,5,0,0,20150301
f65e758d50b58771c0c0b157066f13a4,5700754800,4,0,0,20150301
0b814eb7674877d04d4cd1185dffdf42,4275846000,2,1,0,20150302
1ea4fe1c1e84206a90f18e98bdb1584c,4275846000,2,1,0,20150302
320f3651df5d39d9be1173d0a19dcf89,8551681200,5,1,0,20150302
33869f5fa4936eeec70529eb2a38c561,18528379200,12,1,0,20150302
46de4e7d503d4bbd30e3fd718ad2f979,1425250800,1,0,0,20150302
48239d352b2bd6940a7611454b4b6d98,1425297600,1,0,0,20150302
742fd1ce58cb04531b1a621430f5ce5a,1425250800,1,0,0,20150302
7c18ee584fb5d676bb545a4017b9740b,4275831600,3,0,0,20150302
8121de295473659c7de60e582ff8b253,39907508400,28,0,0,20150302
8455c9eea3ebaae2380f7e4face53126,1425258000,1,0,0,20150302
90541cdf352e91f2e6daf779caa5fd07,1425279600,1,0,0,20150302
acd9fb3ddb55ec7114de394bab2be854,8551666800,6,0,0,20150302
edcbea2662369133770ac11fa1c052dc,19953892800,14,0,0,20150302
f38951bac70849f428ce25ab541d9a6a,4275860400,3,0,0,20150302
0b814eb7674877d04d4cd1185dffdf42,1425376800,1,0,0,20150303
320f3651df5d39d9be1173d0a19dcf89,5701431600,4,0,0,20150303
33869f5fa4936eeec70529eb2a38c561,17104388400,11,1,0,20150303
46de4e7d503d4bbd30e3fd718ad2f979,12828236400,8,1,0,20150303
48239d352b2bd6940a7611454b4b6d98,1425384000,0,1,0,20150303
6ba415ae11bb52a1bef278fd2251496a,1425348000,1,0,0,20150303
6e0065451961e363b196bdd34c2b82e1,1425384000,1,0,0,20150303
7471e17b749fec653dce159566f096f6,1425387600,1,0,0,20150303
7b30eac851732f98a5cfb8f79ff611cf,1425337200,1,0,0,20150303
8121de295473659c7de60e582ff8b253,24230916000,17,0,0,20150303
a5b875640ec3c5232000f35b821ba02a,2850721200,2,0,0,20150303
acd9fb3ddb55ec7114de394bab2be854,5701417200,4,0,0,20150303
e036df6dc1a8edd7439c6ace0eb7f8d9,1425348000,1,0,0,20150303
edcbea2662369133770ac11fa1c052dc,15678986400,11,0,0,20150303
f38951bac70849f428ce25ab541d9a6a,1425373200,1,0,0,20150303
f65e758d50b58771c0c0b157066f13a4,2850724800,2,0,0,20150303
007b9d900c65393163d1ef296918c03a,1425441600,1,0,0,20150304
0b814eb7674877d04d4cd1185dffdf42,5701741200,2,2,0,20150304
0e091d6da252c28a9f566ca34601e804,4276339200,3,0,0,20150304
1ea4fe1c1e84206a90f18e98bdb1584c,8552772000,6,0,0,20150304
20abdc8d5346633bf5bd763b03f17922,4276339200,3,0,0,20150304
2b3fa5503b65aeaa95cfe7fffb3d0014,4276339200,3,0,0,20150304
2df962e98eb8674c978264553137a424,4276339200,3,0,0,20150304
320f3651df5d39d9be1173d0a19dcf89,4276274400,1,2,0,20150304
33869f5fa4936eeec70529eb2a38c561,18530956800,12,1,0,20150304
3c72477f3d649b91994433dfe1bb1f88,1425441600,1,0,0,20150304
46de4e7d503d4bbd30e3fd718ad2f979,2850951600,2,0,0,20150304
48239d352b2bd6940a7611454b4b6d98,1425441600,1,0,0,20150304
4cb66e3c5a9becbe2dd4c38d06b55f23,1425474000,1,0,0,20150304
5c9c3896c081a372ae659b777b90f640,4276339200,3,0,0,20150304
5d1608876e4bf68334e4c50ee0d1ab3a,2850897600,2,0,0,20150304
6e0065451961e363b196bdd34c2b82e1,4276364400,3,0,0,20150304
7bc543a6b27cd6ee9275d9e0d824cebc,1425466800,1,0,0,20150304
7c18ee584fb5d676bb545a4017b9740b,1425441600,1,0,0,20150304
8121de295473659c7de60e582ff8b253,12828970800,8,1,0,20150304
8455c9eea3ebaae2380f7e4face53126,1425441600,1,0,0,20150304
a4ba7c56de72fd35631bed9943d75840,4276339200,3,0,0,20150304
acd9fb3ddb55ec7114de394bab2be854,12829078800,6,3,0,20150304
b4981b6c5ae9c842795568a2f21a69c4,2850847200,2,0,0,20150304
c014aa92506e50f966c0f00bda49ff3e,2850922800,2,0,0,20150304
c902f041ba8b94725440dcc2a30e6632,4276339200,3,0,0,20150304
ebee0f9ac03bd3eb440bbe769ae494df,1425423600,1,0,0,20150304
edcbea2662369133770ac11fa1c052dc,25658035200,16,2,0,20150304
f114aded48881db26ec33490f0518fc6,1425441600,1,0,0,20150304
f241457901e83bd770836262bb15c6f4,1425456000,1,0,0,20150304
f38951bac70849f428ce25ab541d9a6a,1425441600,1,0,0,20150304
f65e758d50b58771c0c0b157066f13a4,1425477600,1,0,0,20150304
007b9d900c65393163d1ef296918c03a,1425517200,1,0,0,20150305
0b814eb7674877d04d4cd1185dffdf42,7127661600,5,0,0,20150305
1ea4fe1c1e84206a90f18e98bdb1584c,1425517200,1,0,0,20150305
2b3fa5503b65aeaa95cfe7fffb3d0014,1425538800,1,0,0,20150305
2df962e98eb8674c978264553137a424,1425538800,1,0,0,20150305
33869f5fa4936eeec70529eb2a38c561,44191486800,31,0,0,20150305
3c72477f3d649b91994433dfe1bb1f88,1425517200,1,0,0,20150305
46de4e7d503d4bbd30e3fd718ad2f979,14255254800,9,1,0,20150305
48239d352b2bd6940a7611454b4b6d98,1425517200,1,0,0,20150305
5d1608876e4bf68334e4c50ee0d1ab3a,1425538800,1,0,0,20150305
6e0065451961e363b196bdd34c2b82e1,5702133600,4,0,0,20150305
7bc543a6b27cd6ee9275d9e0d824cebc,2851074000,2,0,0,20150305
7c18ee584fb5d676bb545a4017b9740b,7127668800,5,0,0,20150305
8121de295473659c7de60e582ff8b253,14255276400,9,1,0,20150305
8455c9eea3ebaae2380f7e4face53126,4276598400,3,0,0,20150305
90541cdf352e91f2e6daf779caa5fd07,2851027200,2,0,0,20150305
956b589d7419ee3f01f560ee20ec3964,1425510000,1,0,0,20150305
a4ba7c56de72fd35631bed9943d75840,1425538800,1,0,0,20150305
ab38d342942d49942ba4aba9336db34c,1425560400,1,0,0,20150305
acd9fb3ddb55ec7114de394bab2be854,9978778800,7,0,0,20150305
b4981b6c5ae9c842795568a2f21a69c4,1425556800,1,0,0,20150305
c014aa92506e50f966c0f00bda49ff3e,1425517200,1,0,0,20150305
edcbea2662369133770ac11fa1c052dc,19957492800,13,1,0,20150305
f114aded48881db26ec33490f0518fc6,1425517200,1,0,0,20150305
f38951bac70849f428ce25ab541d9a6a,1425517200,1,0,0,20150305
007b9d900c65393163d1ef296918c03a,4276850400,3,0,0,20150306
0b814eb7674877d04d4cd1185dffdf42,7128097200,5,0,0,20150306
0e091d6da252c28a9f566ca34601e804,1425603600,1,0,0,20150306
1c69f5bd988268517a09cd629d2f45eb,1425574800,1,0,0,20150306
1ea4fe1c1e84206a90f18e98bdb1584c,4276828800,3,0,0,20150306
20abdc8d5346633bf5bd763b03f17922,1425603600,1,0,0,20150306
250dba0f9d3e4235d88c4358c5b94c0f,1425636000,1,0,0,20150306
2b3fa5503b65aeaa95cfe7fffb3d0014,1425603600,1,0,0,20150306
2df962e98eb8674c978264553137a424,1425603600,1,0,0,20150306
320f3651df5d39d9be1173d0a19dcf89,1425636000,1,0,0,20150306
33869f5fa4936eeec70529eb2a38c561,11404962000,8,0,0,20150306
3c72477f3d649b91994433dfe1bb1f88,2851239600,2,0,0,20150306
46de4e7d503d4bbd30e3fd718ad2f979,8553592800,5,1,0,20150306
48239d352b2bd6940a7611454b4b6d98,4276904400,2,1,0,20150306
5c9c3896c081a372ae659b777b90f640,1425603600,1,0,0,20150306
5d1608876e4bf68334e4c50ee0d1ab3a,1425603600,1,0,0,20150306
60027f026ed0342fa93d44dfe78f05d1,1425592800,1,0,0,20150306
6e0065451961e363b196bdd34c2b82e1,5702428800,4,0,0,20150306
7471e17b749fec653dce159566f096f6,1425596400,1,0,0,20150306
7bc543a6b27cd6ee9275d9e0d824cebc,1425600000,1,0,0,20150306
7c18ee584fb5d676bb545a4017b9740b,4276814400,3,0,0,20150306
8121de295473659c7de60e582ff8b253,22809661200,16,0,0,20150306
8455c9eea3ebaae2380f7e4face53126,1425603600,1,0,0,20150306
90541cdf352e91f2e6daf779caa5fd07,2851239600,2,0,0,20150306
9556e3d9a35fb2a76c62d33fc19ef84f,1425646800,1,0,0,20150306
97e8efc5f8a87e5f7d5e35daa0cb3a51,1425592800,1,0,0,20150306
a4ba7c56de72fd35631bed9943d75840,1425603600,1,0,0,20150306
acd9fb3ddb55ec7114de394bab2be854,9979354800,6,1,0,20150306
c014aa92506e50f966c0f00bda49ff3e,2851203600,2,0,0,20150306
c902f041ba8b94725440dcc2a30e6632,1425603600,1,0,0,20150306
e036df6dc1a8edd7439c6ace0eb7f8d9,1425574800,1,0,0,20150306
edcbea2662369133770ac11fa1c052dc,7128039600,4,1,0,20150306
f114aded48881db26ec33490f0518fc6,1425607200,1,0,0,20150306
f38951bac70849f428ce25ab541d9a6a,1425607200,1,0,0,20150306
f65e758d50b58771c0c0b157066f13a4,1425650400,1,0,0,20150306
007b9d900c65393163d1ef296918c03a,4277070000,3,0,0,20150307
0b814eb7674877d04d4cd1185dffdf42,5702810400,4,0,0,20150307
0e091d6da252c28a9f566ca34601e804,1425697200,1,0,0,20150307
1244373c2601af76065b452553484f57,1425718800,1,0,0,20150307
1ea4fe1c1e84206a90f18e98bdb1584c,1425708000,1,0,0,20150307
20abdc8d5346633bf5bd763b03f17922,1425697200,1,0,0,20150307
2b3fa5503b65aeaa95cfe7fffb3d0014,1425700800,1,0,0,20150307
2df962e98eb8674c978264553137a424,1425700800,1,0,0,20150307
320f3651df5d39d9be1173d0a19dcf89,5702778000,4,0,0,20150307
33869f5fa4936eeec70529eb2a38c561,8554230000,6,0,0,20150307
35e30c9739a46145a98a53888664d439,1425672000,1,0,0,20150307
48239d352b2bd6940a7611454b4b6d98,1425693600,0,1,0,20150307
4cb66e3c5a9becbe2dd4c38d06b55f23,1425686400,1,0,0,20150307
5c9c3896c081a372ae659b777b90f640,1425700800,1,0,0,20150307
5d1608876e4bf68334e4c50ee0d1ab3a,2851398000,2,0,0,20150307
60027f026ed0342fa93d44dfe78f05d1,1425675600,1,0,0,20150307
6e0065451961e363b196bdd34c2b82e1,4277073600,3,0,0,20150307
742fd1ce58cb04531b1a621430f5ce5a,2851430400,2,0,0,20150307
7471e17b749fec653dce159566f096f6,1425672000,1,0,0,20150307
7b30eac851732f98a5cfb8f79ff611cf,1425700800,1,0,0,20150307
8121de295473659c7de60e582ff8b253,14257051200,10,0,0,20150307
8455c9eea3ebaae2380f7e4face53126,2851387200,2,0,0,20150307
90541cdf352e91f2e6daf779caa5fd07,2851372800,2,0,0,20150307
97e8efc5f8a87e5f7d5e35daa0cb3a51,1425661200,1,0,0,20150307
a4ba7c56de72fd35631bed9943d75840,2851387200,2,0,0,20150307
acd9fb3ddb55ec7114de394bab2be854,15682701600,11,0,0,20150307
c014aa92506e50f966c0f00bda49ff3e,9980002800,7,0,0,20150307
c902f041ba8b94725440dcc2a30e6632,1425697200,1,0,0,20150307
d3f3565c378946ec0b3e6ccc70f93500,1425686400,1,0,0,20150307
