song_Id,gmt_create_total,action_type2,action_type3,Ds,publish_time,song_init_plays,language,gender,action_type1
10952b987c69d4f433111d0ddc24f03e,9976348800,0,0,20150301,20141027,36866,1,1,7
1608d17d4956000635743065d28816da,14251888800,1,0,20150301,20160207,49982,0,1,9
1ff656c0f1cec0fdb3b59bfe0549135b,28503493200,2,0,20150301,20150214,217,1,1,18
343880a8016560e68b65acc74e7c061b,14251784400,1,0,20150301,20141027,98427,1,1,9
3a9e3d6f32164feebd3620ac90f719c1,5700751200,1,0,20150301,20130815,23744,1,1,3
52a737c8d7138fc427dfcb06ba16cd77,4275471600,0,0,20150301,20120104,2380,1,1,3
56a54ab5171dcaeba315edc5acbd3922,7125994800,0,0,20150301,20141027,37162,1,1,5
5f0acdf366f304a2f9d2c4f00e5adac0,1425171600,0,0,20150301,20120101,9729,1,1,1
62399b8cafe98b3c2d67b6fc9ab235fe,2850440400,0,0,20150301,20110601,5608,1,1,2
63b4458b49e8a6bc502562a737091574,1425196800,0,0,20150301,20120101,7050,1,1,1
63b9dbfafebb44676108fc10bf32f0ee,2850310800,0,0,20150301,20120101,9030,1,1,2
67fb6966d414da1f7b3ad7c88bfb8441,32779015200,3,0,20150301,20150214,202,1,1,20
6e006e102adedbcab45d3d380140bc63,9976323600,0,0,20150301,20141027,43375,1,1,7
86da9d8098c3df5a4098fba10b76421b,12826717200,0,0,20150301,20141027,59620,1,1,9
8732e5dcb131df1cb810367a0c974f41,22803102000,1,0,20150301,20141027,119534,1,1,15
90d37e92607ca07f6f83fa255fa5a1a1,12826612800,0,0,20150301,20141027,63746,1,1,9
a5f52001f48fd9be2abbcd28abc45934,155347567200,3,0,20150301,20150214,146,1,1,106
a610a88216e17e4f13b81d6391c2d909,2850368400,0,0,20150301,20120104,3430,1,1,2
b6c00dc7ba77f1f789f53b7df09c3bdf,257959353600,33,0,20150301,20141027,395119,1,1,148
b78d02bc89f89c5bb34dc3daf3f98632,32779090800,3,1,20150301,20150214,178,1,1,19
b79bc880e189a3bfc1880f898e83210a,1425218400,0,0,20150301,20160207,6761,0,1,1
c41be2d9a36e16a7b8f541c8615f2584,14251813200,1,0,20150301,20141027,91033,1,1,9
c54d1535edeb6369061f5476a60ebca3,5700733200,0,0,20150301,20120101,27512,1,1,4
d12ff2118f293d5fb43409193ff296e2,32779162800,3,0,20150301,20150214,148,1,1,20
d2943f052ce71bda60b30d2e4e6a8437,1425150000,0,0,20150301,20120104,2410,1,1,1
d9d4e181d2674a430bfbe5a91191d780,1425171600,0,0,20150301,20120101,9953,1,1,1
da318831c172bcbea5afd6dbbc634061,2850440400,0,0,20150301,20110601,6615,1,1,2
e46152868683af2af10dfeaf46efab6f,5700801600,0,0,20150301,20141027,46683,1,1,4
eb149f34024a41795f4a9389305c8f03,1425153600,0,0,20150301,20120101,7762,1,1,1
ed679c38484aa83018c451532d4ecd09,18527486400,2,0,20150301,20141027,170908,1,1,11
f3f770e3118cda5345f3f15aaf050d88,2850343200,1,0,20150301,20140901,11147,1,1,1
